a.s,s.s->a.f,c.f->a.s
1,17.3230899876,11.5133182395
1,17.4547984772,8.47596401683
0,17.2412587607,10.5600534881
1,17.3711910496,6.94790221548
0,17.2582142146,7.82005849997
0,16.9322312434,6.51769654926
1,18.1318076234,8.81061569975
1,17.0525613998,7.48512860026
1,17.8093312472,10.9858012947
1,18.6698454211,9.40599240229
1,18.4508731063,10.6739634712
1,16.9202357964,7.92756614652
1,16.7983857334,9.25734647029
0,15.6924409023,4.88473546052
0,15.9291170215,4.43473945951
0,14.4309697686,9.79150211589
0,15.4392997634,4.51432476572
0,14.0492355211,6.33430722731
0,15.2909284561,8.50597957301
0,15.2285076788,7.77937480228
0,13.5718950982,4.79967227666
0,13.613477609,6.07391398786
0,12.9993983337,1.9033237802
0,13.189045536,6.00381292924
0,13.969371754,7.75264177955
0,13.6733508796,5.80119730727
0,13.492632098,5.14884056449
0,13.2827534981,5.72651402781
0,14.4307965079,5.46824115855
0,14.5503271145,4.50556283806
0,15.4605165083,3.54026066507
0,15.7678660022,4.99174395182
0,15.1856837519,7.20484628642
0,15.393961827,5.4151626792
0,15.1634051299,6.02938139425
0,15.9186272198,7.84330714635
0,15.3260557686,8.34604436771
0,14.7313570217,7.23732754409
0,14.4193988241,7.95813864117
0,14.8326265986,8.26786925353
0,15.941947956,8.79435589963
0,13.6055247036,5.07135236654
0,13.8691877247,5.57476212003
0,13.5812779454,4.98133335677
0,13.2179622807,4.84720913513
0,12.2861555261,2.61999251169
0,12.4924073943,2.66172672992
0,13.862235351,3.36372659524
0,12.7613982469,6.17895072023
0,13.6635018905,5.56884357034
0,12.2271207205,4.88748492293
0,12.5407090561,3.68912769815
0,12.4645412559,3.51420384556
0,12.701406988,3.11189376455
0,13.8073068521,4.92055171017
0,12.8595021321,5.15107809678
0,14.9387731863,7.55750406079
0,15.7124599789,6.52780249263
0,15.5687954363,5.35505742868
0,16.2465998606,5.8442215887
0,16.0805693601,6.10893681466
0,14.9146257294,6.29161197162
0,15.3532856754,4.08993086525
0,15.2771939614,8.47571036995
0,14.555602308,6.87123740503
0,15.6376766436,6.43258126083
