a.s,s.s->a.f,c.f->a.s
1,16.5604861684,6.58666528703
0,16.747623886,7.15229374557
1,18.0860254703,7.44605893892
1,18.655881381,7.25501177293
1,17.7641076202,6.99633046097
1,18.6124039742,10.0024459849
1,18.2285679898,7.14472631652
1,17.4302602891,12.0627059123
1,18.4512116055,8.34495042309
1,16.8264259439,8.27660827957
0,16.1615501951,8.53895054316
0,15.0737986381,3.21047227524
0,15.8614656714,4.7949959204
0,15.2072924067,7.93697282204
0,16.1387296553,7.5591831774
1,16.1190842501,5.59951441974
0,17.3282472625,4.17410769806
0,17.7776124897,5.40344801508
1,17.019642644,5.68785707455
0,16.653339077,9.6088847695
0,17.5163068674,6.67929873091
0,17.7529171012,5.84626261286
0,14.5685955904,4.8595805772
0,15.761910397,7.04418701245
0,15.48296882,7.35530622754
1,17.3373825298,10.9310968367
1,17.8193972615,9.28504945759
1,19.2826899698,12.1932925941
1,18.9851564184,13.8328986725
1,18.9825996715,8.23995698676
1,17.2617970941,6.4078783182
1,17.4358121625,7.98723374674
0,18.0030296092,5.51088775592
1,17.4154757253,7.89246991021
1,19.3623541672,12.708075188
1,17.5553199301,6.64961535709
1,19.1239708454,11.716572894
1,18.5053751967,6.91523401328
1,18.8507531798,11.8406756907
1,19.8684995874,14.599375812
1,20.6990060291,8.57656811773
1,20.2550499119,8.5054474338
1,19.6411916096,11.1606247406
1,20.8011567402,13.6854797302
1,21.6829772011,11.0429049308
1,22.3576271224,13.9946159935
0,7.50972494771,0.493464851486
1,21.5169068322,9.71665983871
1,21.5503002712,14.4873957507
1,22.2749849699,14.6647329525
1,21.0899476738,10.6138514849
1,20.5943229657,11.4949865094
1,19.8481301043,12.3960662969
1,20.5769550891,12.6471647055
1,19.4015848516,7.21366304284
1,16.9902402308,6.48328085629
1,16.4217531675,10.4767650754
0,17.2679520108,8.06703260723
0,17.1936992217,8.44600226842
1,15.3234365269,8.53481012846
1,16.9574733169,7.23083331872
1,19.4525525193,10.5172688613
1,17.7927269652,8.26552243926
1,17.84940225,7.39827317231
1,18.0587407816,7.95974807082
1,18.0940981549,10.4415679631
1,18.1197175913,9.87439341037
1,18.1944707851,6.43629983503
1,17.7286439853,10.1674443568
1,18.0755900339,10.0704143045
1,17.5225208693,7.7019404234
1,18.0080690582,8.83271567361
1,17.5867068517,7.22903583397
1,16.4633088869,10.5240829756
0,17.6686785658,5.0717483812
0,15.8503663677,3.76159571239
0,15.8450380772,4.656116018
0,16.3393276722,9.6869563893
0,16.5895327498,5.79177315509
0,15.3110710737,3.45335666887
0,15.2338415886,2.99518505957
0,13.8644381724,8.91614904371
0,15.2605357317,8.59720589185
0,13.0367812208,6.18344745351
0,13.0742705754,3.85255038338
0,11.5001161022,1.19172270367
0,13.2154860445,2.56491260919
0,11.41099565,1.708213291
0,10.8837040433,2.01090537929
0,12.2937678453,2.29118539213
0,12.1883738443,5.99488501664
0,11.6782300807,0.578072032651
0,11.8103462078,4.24717084137
0,14.1893427533,3.58627060431
0,12.633611983,4.89192297349
0,13.3756709436,7.67934144032
0,13.756774078,6.81085377084
0,13.4815970646,8.17365330971
0,14.4135842547,3.15141025146
0,14.9617942836,9.47069734577
0,14.9561134695,7.33263284899
0,15.6944848989,4.9754365261
0,15.4683946787,3.53263520441
0,14.4940733082,7.32532412606
0,15.9344070389,5.70324526845
0,15.3163662504,4.13426646285
0,15.7522666735,8.00095900157
0,15.3064987841,8.87308677053
0,15.2253382978,7.82717714623
0,17.8904973364,10.5062400154
1,17.5212076751,7.68058230273
1,19.3910793871,7.44084469201
1,19.6359645362,12.1186110553
0,5.38022046927,0.0951093543752
1,19.2484296681,8.87212795001
1,17.7287026232,10.3082518889
1,21.1640260924,8.72119552275
1,20.7151614237,12.6785200043
1,21.0910692928,8.26580373015
1,21.1272287038,14.2225685479
1,21.0034454491,10.7147137924
1,21.3019178743,10.3664216826
1,20.4271498463,9.23191251061
1,20.8602249505,12.0963845609
1,20.4640134462,10.591860142
1,20.3562946346,9.08588703381
1,19.0903581646,12.3063858254
1,20.0194027764,14.6110608027
1,18.4984466155,10.8041658485
1,19.1279934646,10.1542769461
1,18.057343726,10.739205409
1,16.6544323932,7.68267485394
0,17.490798336,9.28710352407
