a.s,x
0,13.7460539386
0,13.8919700631
0,13.9304235794
0,14.1407017407
0,14.1476167794
0,14.1523395763
0,14.2025760282
0,14.2497064193
0,14.3486321304
0,14.36524372
0,14.5410586196
0,14.675155703
0,14.8005327437
0,14.864094714
0,14.981132563
0,15.0994202083
0,15.1355937675
1,15.211877533
1,15.2284829721
0,15.2515329539
0,15.2907641167
0,15.3220367096
0,15.3469015806
0,15.3692153598
1,15.3868218781
1,15.4408740952
0,15.4705520177
0,15.5210272413
1,15.5288891627
1,15.5777342067
0,15.6229689402
1,15.6399706094
1,15.7195981741
1,15.721402214
1,15.7361558636
1,15.7743848032
0,15.8110645331
1,15.901482687
1,15.911251484
0,15.9143490965
1,15.9580553661
0,15.9711648907
1,15.9729262673
0,16.0026733666
1,16.0078715896
0,16.0167506147
1,16.0419836284
0,16.0527553715
0,16.0586743042
1,16.0661901579
0,16.0860286612
1,16.0942740286
1,16.095786583
1,16.1361941137
1,16.1457221434
0,16.1506626883
0,16.1882577079
0,16.1984623461
1,16.2058648921
1,16.2134876618
1,16.218725205
1,16.2701222082
1,16.2731395543
1,16.2817862619
0,16.3027918819
0,16.3046835394
1,16.3291404612
0,16.3318714491
0,16.3349734826
1,16.3546778851
1,16.3792211834
1,16.3830614191
1,16.4312987543
1,16.4448660286
1,16.4663300256
1,16.4819404333
1,16.4853571536
1,16.5093962876
0,16.5100556366
1,16.5105687416
1,16.5372185538
0,16.5424877897
0,16.5709909636
1,16.5959482973
1,16.5978064772
0,16.6241007668
1,16.6781424329
0,16.6981044051
1,16.7097493931
0,16.7152266032
1,16.7215472973
0,16.7255863528
1,16.7293656429
1,16.7326144441
1,16.7508476481
1,16.7644427644
1,16.7828145099
1,16.7878403181
1,16.8041006398
0,16.8161596147
1,16.8193229924
1,16.8225947574
1,16.8253311432
0,16.8255510617
1,16.8325882824
1,16.8529299453
1,16.8553738681
1,16.8641704863
1,16.8680691804
1,16.8776139655
0,16.8792864132
0,16.8880719684
1,16.8909264111
1,16.9125853237
1,16.9359151361
0,16.9489322927
1,16.9556571765
1,16.9764344648
0,16.981495101
1,16.9866576471
1,16.9916497495
0,17.0203251052
1,17.0227635901
1,17.0235656666
1,17.0241626898
0,17.040507718
1,17.0689788608
1,17.0703212943
1,17.0742214967
1,17.0897158388
0,17.0900416714
1,17.103574889
1,17.1088986239
1,17.1129952946
1,17.1130548023
1,17.1249560197
1,17.1359096091
1,17.1639345407
0,17.1790067193
0,17.214293482
0,17.2320376957
0,17.2846571793
1,17.2922870578
1,17.3001421925
0,17.3002669184
1,17.3327820346
1,17.3414532412
1,17.3469664491
1,17.3789612006
1,17.3818024879
1,17.3977886122
1,17.3996213875
1,17.4008262233
1,17.4038012385
0,17.419416334
1,17.4240700965
0,17.4273620517
1,17.4392388415
1,17.4417527644
1,17.4578734727
1,17.461120488
1,17.4733566327
1,17.4861745058
1,17.5012916831
1,17.5221310836
1,17.5481214645
1,17.5643870696
1,17.5710555579
1,17.5873765604
1,17.5961004673
0,17.6273848518
1,17.6386985215
1,17.6747483713
1,17.6935069238
1,17.6969417115
1,17.7025380397
1,17.7270181834
1,17.7560890768
1,17.7662301696
1,17.7888189225
0,17.8251311804
1,17.8344246671
1,17.8903867261
1,17.8963373461
1,17.9212570646
1,17.9658711173
1,18.0264601173
0,18.0429056481
0,18.1362329793
1,18.1397737255
1,18.3334692279
1,18.4142822133
1,18.4628336565
1,18.5456824795
0,18.6696296472
1,18.6985849722
1,18.8146217552
1,18.9896327539
1,19.009561997
1,19.1814595433
1,19.3188345485
0,19.3547638394
1,19.390201515
1,19.4252187263
0,19.427863564
0,19.4317034482
1,19.5006398158
1,19.6626989777
0,19.6963306482
1,19.7393018879
0,19.778468304
1,19.8949244753
0,19.9733953094
0,20.0780541481
1,20.3071494062
0,20.8782334449
0,20.95348631
1,21.1367036961
1,21.4008317092
1,21.7215849596
1,21.8878341259
0,22.0294111573
1,22.0336694226
1,22.0443603629
1,22.1711406474
0,22.983733326
1,22.9843197016
1,23.0208514129
1,23.5688247742
1,24.0429264323
1,25.3110545562
