a.s,x
0,4.81812209425
0,5.13135652015
0,5.30078618064
0,5.3011012491
0,5.31405948068
0,5.49730397451
1,5.49784238556
0,5.51721028239
0,5.51815777139
0,5.54162851701
0,5.57865481745
0,5.63835845217
0,5.64278557603
1,5.64572580633
0,5.65608376349
0,5.71736516435
0,5.72777024198
0,5.73196730579
0,5.77235493195
1,5.78597627384
1,5.79125811053
0,5.79939065121
0,5.80383205852
1,5.80854774038
0,5.82143815696
0,5.82873125956
0,5.83399261667
1,5.8466446907
0,5.86697763174
1,5.8816975357
1,5.9440691073
0,5.97228837948
1,5.97583962012
0,5.97598048726
0,5.98850490433
0,5.99828231391
0,5.99844328655
0,6.00137066408
1,6.00801118831
0,6.05150605962
1,6.05567918914
0,6.0798186211
0,6.08913096503
0,6.10144691535
0,6.10556230535
0,6.10606161189
0,6.15296221801
1,6.15582319778
1,6.16028822317
1,6.17660854422
0,6.21016169537
1,6.21144158836
1,6.21334433605
1,6.21439664948
1,6.21448579047
0,6.22430109642
0,6.2246162237
0,6.23196475851
1,6.23269920992
1,6.24135127577
1,6.27379037473
1,6.27450333651
1,6.28335170402
1,6.29850298951
1,6.30581745123
0,6.30722053824
0,6.32335715441
1,6.35596477927
0,6.36284493661
0,6.36861866065
1,6.38544980243
0,6.40045364846
1,6.40976783866
1,6.4097799932
1,6.41084340935
0,6.43710817877
0,6.43799341119
0,6.44810434588
1,6.44818083633
0,6.45550054389
0,6.46028812329
1,6.47559512561
0,6.48302704017
0,6.48470434325
0,6.49559369904
0,6.49565026871
1,6.50077759568
0,6.51057892543
0,6.52023380857
1,6.52122300702
1,6.52465107557
0,6.54736830815
0,6.55376522837
0,6.55859204056
1,6.58124041377
1,6.58357966127
1,6.59698428008
0,6.59813642013
0,6.63032540068
0,6.65223836136
0,6.65508152697
1,6.66092629387
0,6.66603284652
0,6.67308358061
0,6.68617661155
0,6.69024721176
1,6.69108061198
0,6.69596994048
0,6.69601034396
1,6.70062830849
0,6.703570233
0,6.70426912586
1,6.70471613102
0,6.70811770209
0,6.71073823214
1,6.7266450723
0,6.73136976716
0,6.73861832717
1,6.74009921108
0,6.74028834002
1,6.74197765681
1,6.74455394964
0,6.74823640399
0,6.75633951221
0,6.76303695829
1,6.76312240762
0,6.76683556096
1,6.77365822026
1,6.77910495413
1,6.77977031644
0,6.79408371275
1,6.79848495029
1,6.8002831973
1,6.80537239207
0,6.81026653893
0,6.81925561341
1,6.81931441253
0,6.82367719804
1,6.82761734519
1,6.82829082118
1,6.82973012641
1,6.83154331405
1,6.83195112418
0,6.83222140343
1,6.83942242776
1,6.84118885981
1,6.84444052702
1,6.84632287054
1,6.84640288206
1,6.85502313623
0,6.88605282282
0,6.89654351356
1,6.90533348439
0,6.91074892983
1,6.91105319056
0,6.92235380795
1,6.92567504139
1,6.92773085217
1,6.92940260712
0,6.92996671722
0,6.9346252972
1,6.93640100499
0,6.9380200921
1,6.94378125247
1,6.94809481484
1,6.94961707239
1,6.95111687621
1,6.95843467079
1,6.96143812584
1,6.966668566
1,6.96672979511
0,6.96833543955
1,6.97208874916
1,6.98000598908
0,6.98531565479
1,7.00918674998
1,7.01020870451
0,7.01499999468
0,7.01869107252
0,7.02010935271
0,7.02109386622
